"Message",Low,"Der Buildvorgang wurde gestartet."
"Message",Low,"Projekt ""Unnamed_1"" (Standardziele):"
"Message",Low,"Erstellung mit der Toolsversion 4.0."
"Message",Low,"Ziel ""PrintILCStartMessage"" in Datei ""C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x64\ilc\IlcInternals.targets"" aus Projekt ""C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\Unnamed_1"" (Ziel ""Build"" ist davon abhängig):"
"Message",Low,"Die IlcMessageTask-Aufgabe aus der C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x64\ilc\ilc.exe-Assembly wird verwendet."
"Message",Low,"IlcMessageTask-Aufgabe"
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Ausführen der IlcMessageTask-Aufgabe beendet."
"Message",Low,"Die Erstellung des Ziels ""PrintILCStartMessage"" im Projekt ""Unnamed_1"" ist abgeschlossen."
"Message",Low,"Ziel ""RunGatekeeper"" in Datei ""C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x64\ilc\IlcInternals.targets"" aus Projekt ""C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\Unnamed_1"" (Ziel ""Build"" ist davon abhängig):"
"Message",Low,"Die WriteLinesToFile-Aufgabe aus der Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a-Assembly wird verwendet."
"Message",Low,"WriteLinesToFile-Aufgabe"
"Message",Low,"Ausführen der WriteLinesToFile-Aufgabe beendet."
"Message",Low,"Die StartProcessTask-Aufgabe aus der Microsoft.Build.ILTasks-Assembly wird verwendet."
"Message",Low,"StartProcessTask-Aufgabe"
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x64\ilc\tools\Gatekeeper.exe @""C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\obj\x64\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24211.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\obj\x64\Release\ilc\in\MCP23S17.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\obj\x64\Release\ilc\in\Microsoft.ApplicationInsights.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\obj\x64\Release\ilc\in\Microsoft.ApplicationInsights.Extensibility.Windows.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\obj\x64\Release\ilc\in\Microsoft.ApplicationInsights.PersistenceChannel.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Zipfeldieb\Desktop\PIFace Digital II\PIFace Digital II\obj\x64\Release\ilc\in\PIFace Digital II.exe'. "
